,Word,Count,Include,ProperNounRatio
0,pname,13570,0,0.0
1,one,9141,0,0.0009871668311944718
2,mummy,5567,1,0.22939866369710468
3,bit,4020,1,0.0004975124378109452
4,car,2844,1,0.010567101091933779
5,daddy,2550,1,0.3224652087475149
6,baby,2470,1,0.05348460291734198
7,train,2026,1,0.004466501240694789
8,pardon,1724,0,0.0017401392111368909
9,color,1686,1,0.0
10,way,1662,1,0.0
11,thing,1414,1,0.0
12,box,1365,1,0.006598240469208211
13,man,1315,1,0.02129277566539924
14,dolly,1307,1,0.6463790446841294
15,girl,1279,1,0.003129890453834116
16,book,1197,1,0.00835421888053467
17,house,1173,1,0.0068201193520886615
18,egg,1139,1,0.007908611599297012
19,time,1103,0,0.0
20,horse,1061,1,0.009487666034155597
21,animal,1032,1,0.001937984496124031
22,look,997,0,0.0020060180541624875
23,foot,975,1,0.0
24,cow,942,1,0.031914893617021274
25,hair,924,1,0.0010834236186348862
26,hand,900,1,0.0
27,darling,895,1,0.01005586592178771
28,toy,893,1,0.0
29,head,885,1,0.004524886877828055
30,brick,879,1,0.0034129692832764505
31,piece,859,1,0.0
32,top,856,1,0.0
33,bridge,824,1,0.03398058252427184
34,today,820,0,0.0
35,tiger,817,1,0.14583333333333334
36,boy,803,1,0.0062266500622665
37,cake,796,1,0.0
38,minute,790,0,0.0
39,tea,788,1,0.0012690355329949238
40,dog,771,1,0.05317769130998703
41,cat,749,1,0.08981233243967829
42,elephant,711,1,0.03234880450070324
43,door,707,1,0.0056657223796034
44,picture,683,1,0.0
45,monkey,672,1,0.09388971684053651
46,name,671,1,0.0
47,orange,663,1,0.024132730015082957
48,leg,662,1,0.0
49,bed,658,1,0.001519756838905775
50,teddy,653,1,0.7929447852760736
51,water,646,1,0.0015503875968992248
52,nose,640,1,0.0046875
53,hat,614,1,0.009771986970684038
54,thomas,603,0,1.0
55,panda,601,1,0.4665551839464883
56,back,596,1,0.0
57,bear,571,1,0.5334476843910806
58,eye,569,1,0.0035149384885764497
59,floor,565,1,0.0
60,fish,557,1,0.007207207207207207
61,pig,554,1,0.0539568345323741
62,day,551,1,0.016363636363636365
63,shoe,548,1,0.0018248175182481751
64,bag,544,1,0.001838235294117647
65,morning,542,0,0.0
66,matter,542,1,0.0
67,tractor,536,1,0.0148975791433892
68,shop,532,1,0.0037593984962406013
69,face,524,1,0.013358778625954198
70,mouth,518,1,0.003861003861003861
71,sleep,510,0,0.0
72,truck,505,1,0.033663366336633666
73,milk,505,1,0.011881188118811881
74,chicken,504,1,0.011904761904761904
75,yesterday,503,0,0.02186878727634195
76,tower,502,1,0.027944111776447105
77,drink,489,1,0.002044989775051125
78,food,487,1,0.0
79,noise,486,0,0.0
80,wheel,482,1,0.002074688796680498
81,chair,480,1,0.006263048016701462
82,apple,479,1,0.07515657620041753
83,boat,478,1,0.0
84,dress,471,1,0.0
85,table,470,1,0.0
86,penguin,469,1,0.11087420042643924
87,story,460,1,0.008695652173913044
88,lady,458,1,0.017543859649122806
89,arm,457,1,0.0
90,people,449,0,0.0
91,shopping,448,1,0.0
92,room,445,1,0.0
93,trouser,441,1,0.0
