,Word,Count,Include
0,go,22350,1
1,get,15687,1
2,can,13331,0
3,will,10850,0
4,put,9316,1
5,think,8771,0
6,look,8735,1
7,come,7046,1
8,see,6118,0
9,want,5822,0
10,shall,5436,0
11,know,4616,0
12,say,4080,1
13,make,3785,1
14,like,3772,0
15,wanna,3341,0
16,let,3301,0
17,gonna,3239,0
18,play,3136,1
19,would,2886,0
20,take,2716,1
21,eat,2243,1
22,hafta,2226,0
23,find,2154,1
24,sit,2122,1
25,tell,1837,1
26,need,1726,0
27,give,1673,1
28,could,1584,0
29,fall,1427,1
30,might,1313,0
31,remember,1152,0
32,fit,1145,0
33,try,1061,1
34,happen,1054,0
35,call,1019,1
36,leave,1012,1
37,draw,1004,1
38,break,954,1
39,pull,923,1
40,build,909,1
41,should,869,0
42,bring,852,1
43,keep,812,1
44,move,789,1
45,stand,785,1
46,help,777,1
47,turn,757,1
48,watch,741,1
49,buy,724,1
50,throw,719,1
51,stop,715,1
52,show,715,1
53,hurt,711,0
54,read,695,0
55,mean,648,0
56,hold,643,0
57,wait,620,0
58,push,617,0
59,talk,613,0
60,drive,610,0
61,finish,603,0
62,sleep,574,0
63,use,571,0
64,lose,554,0
65,open,551,0
66,needta,546,0
67,pick,524,0
68,must,512,0
69,stick,512,0
70,stay,490,0
71,jump,486,0
72,cry,461,0
73,hear,455,0
74,run,447,0
75,hide,435,0
76,work,434,0
77,knock,430,0
78,ask,421,0
79,sing,414,0
80,cut,407,0
81,start,406,0
82,listen,399,0
83,wear,391,0
84,sposta,379,0
85,pretend,378,0
86,fix,378,0
87,wash,359,0
88,got,350,0
89,drink,327,0
90,miss,323,0
91,bite,320,0
92,hang,309,0
93,drop,288,0
94,live,284,0
95,write,277,0
96,lie,276,0
97,crash,273,0
98,blow,267,0
99,count,262,0
100,walk,261,0
101,excuse,259,0
102,wipe,248,0
103,roll,248,0
104,catch,247,0
105,press,241,0
106,color,237,0
107,wake,235,0
108,cook,225,0
109,mind,224,0
110,forget,224,0
111,climb,224,0
112,swim,221,0
113,feel,220,0
114,tip,220,0
115,mend,209,0
116,shut,203,0
117,carry,197,0
118,bang,193,0
119,bet,189,0
120,hadta,188,0
121,ride,187,0
122,close,186,0
123,wonder,185,0
124,feed,178,0
125,tickle,174,0
126,kiss,169,0
127,lift,167,0
128,hit,167,0
129,fly,166,0
130,hope,161,0
131,touch,154,0
132,dance,153,0
133,paint,153,0
134,tidy,152,0
135,rain,149,0
136,pay,148,0
137,hasta,148,0
138,clean,147,0
139,dress,147,0
140,suppose,145,0
141,send,143,0
142,choose,141,0
143,useta,139,0
144,manage,137,0
145,bump,137,0
146,seem,134,0
147,kick,134,0
148,squash,134,0
149,love,131,0
150,shop,130,0
151,undo,129,0
152,wave,128,0
153,pass,127,0
154,reach,125,0
155,change,125,0
156,dry,124,0
157,pop,123,0
158,singe,115,0
159,sound,114,0
160,ring,113,0
161,understand,111,0
162,calm,106,0
163,wind,106,0
164,sort,105,0
165,shout,100,0
166,bake,99,0
167,fetch,98,0
168,bash,98,0
169,matter,97,0
170,brush,96,0
171,rub,94,0
172,oughta,92,0
173,cover,92,0
174,win,91,0
175,mix,91,0
176,park,91,0
177,speak,90,0
178,save,86,0
179,belong,86,0
180,grow,85,0
181,share,85,0
182,spill,84,0
183,fill,84,0
184,pour,84,0
185,peep,84,0
186,tuck,83,0
187,pinch,82,0
188,chew,82,0
189,'ve,81,0
190,wrap,80,0
191,enjoy,79,0
192,laugh,78,0
193,set,77,0
194,bless,77,0
195,worry,77,0
196,cuddle,75,0
197,rip,74,0
198,learn,71,0
199,lick,71,0
200,chase,71,0
201,slide,70,0
202,peel,70,0
203,behave,70,0
204,allow,69,0
205,bend,69,0
206,meet,68,0
207,smack,68,0
208,tie,67,0
209,squeeze,67,0
210,tread,67,0
211,wee,67,0
212,land,63,0
213,bother,63,0
214,bounce,62,0
215,scratch,61,0
216,rescue,60,0
217,lay,58,0
218,smell,57,0
219,empty,57,0
220,check,56,0
221,post,56,0
